apparent,
1814.0774399999998, 
1814.0774399999998, 
1807.44192, 
1805.96736, 
1804.4928, 
1803.01824, 
1802.6496, 
1807.44192, 
1855.7337599999998, 
1831.40352, 
1817.02656, 
1823.6620799999998, 
1816.65792, 
1824.7680000000003, 
1816.65792, 
1824.3993600000001, 
1816.65792, 
1822.5561599999999, 
1816.28928, 
1781.26848, 
1267.38432, 
710.73792, 
376.0128, 
198.32832, 
103.21919999999999, 
54.19008, 
28.38528, 
14.745599999999998, 
8.11008, 
4.42368, 
2.5804799999999997, 
1.8431999999999997, 
1.8431999999999997, 
1.8431999999999997, 
1.8431999999999997, 
1.4745599999999999, 
1.8431999999999997, 
1.4745599999999999, 
1.8431999999999997, 
1.4745599999999999, 
1.4745599999999999, 
1.8431999999999997, 
1.10592, 
0.7372799999999999, 
1.8431999999999997, 
2.21184, 
1.8431999999999997, 
1.8431999999999997, 
1.8431999999999997, 
1.8431999999999997, 
