apparent,
797.73696, 
797.73696, 
794.05056, 
794.05056, 
793.6819199999999, 
794.05056, 
793.31328, 
795.52512, 
803.2665599999999, 
801.42336, 
803.6352, 
801.7919999999999, 
804.7411199999999, 
804.00384, 
801.7919999999999, 
804.3724800000001, 
802.52928, 
804.00384, 
801.05472, 
801.7919999999999, 
803.6352, 
802.16064, 
804.7411199999999, 
770.08896, 
515.35872, 
284.59008, 
150.77375999999998, 
78.88895999999998, 
40.919039999999995, 
22.118399999999998, 
11.059199999999999, 
5.8982399999999995, 
3.31776, 
1.8431999999999997, 
1.10592, 
0.7372799999999999, 
1.10592, 
0.36863999999999997, 
1.4745599999999999, 
2.21184, 
1.4745599999999999, 
1.10592, 
1.10592, 
0.36863999999999997, 
0.36863999999999997, 
0.0, 
1.10592, 
1.10592, 
0.7372799999999999, 
0.7372799999999999, 
