time; apparent
1636626942.669536; 1.4745599999999999; 
1636626942.7722719; 0.36863999999999997; 
1636626942.8745048; 0.0; 
1636626942.9771326; 0.0; 
1636626943.0797887; 0.0; 
1636626943.181927; 0.36863999999999997; 
1636626943.2845771; 0.36863999999999997; 
1636626943.3867655; 0.0; 
1636626943.489383; 0.0; 
1636626943.5910873; 0.0; 
1636626943.6937208; 0.0; 
1636626943.7963495; 0.0; 
1636626943.89895; 0.0; 
1636626944.0010912; 0.0; 
1636626944.1037257; 0.0; 
1636626944.2063391; 0.0; 
1636626944.3089547; 0.0; 
1636626944.4115448; 0.0; 
1636626944.5136735; 0.0; 
1636626944.6163008; 0.0; 
1636626944.718952; 0.0; 
1636626944.8215551; 0.36863999999999997; 
1636626944.9236937; 0.0; 
1636626945.0263305; 0.0; 
1636626945.128475; 0.0; 
1636626945.2310152; 0.0; 
1636626945.3331633; 0.0; 
1636626945.435765; 0.0; 
1636626945.537921; 0.0; 
1636626945.6405456; 0.0; 
1636626945.7431571; 0.0; 
1636626945.8457797; 0.0; 
1636626945.948382; 0.0; 
1636626946.050994; 0.0; 
1636626946.1535947; 0.0; 
1636626946.2563438; 0.0; 
1636626946.361378; 0.0; 
1636626946.4649973; 0.0; 
1636626946.566205; 0.0; 
1636626946.6673894; 0.0; 
1636626946.7685897; 0.0; 
1636626946.8697822; 0.0; 
1636626946.9709723; 0.0; 
1636626947.0721867; 0.0; 
1636626947.1734202; 0.36863999999999997; 
1636626947.276049; 0.0; 
1636626947.3786812; 0.0; 
1636626947.480828; 0.0; 
1636626947.5834615; 0.0; 
1636626947.6860838; 0.0; 
1636626947.7887042; 0.0; 
1636626948.1894584; 0.0; 
1636626948.2907147; 0.0; 
1636626948.3919322; 0.0; 
1636626948.4931324; 0.0; 
1636626948.5943346; 0.0; 
1636626948.6959975; 0.0; 
1636626948.7985904; 0.0; 
1636626948.9007263; 0.0; 
1636626949.003358; 0.0; 
1636626949.1055021; 0.0; 
1636626949.2172825; 0.0; 
1636626949.3194585; 0.0; 
1636626949.4221427; 0.0; 
1636626949.52439; 0.0; 
1636626949.6263409; 0.0; 
1636626949.7282667; 0.0; 
1636626949.830138; 0.0; 
1636626949.932415; 0.0; 
1636626950.0343075; 0.0; 
1636626950.1365962; 0.0; 
1636626950.246044; 0.0; 
1636626950.348203; 0.0; 
1636626950.4508219; 0.36863999999999997; 
1636626950.5530496; 0.0; 
1636626950.6556692; 0.0; 
1636626950.757809; 0.0; 
1636626950.8604176; 0.0; 
1636626950.9625545; 0.0; 
1636626951.0653858; 0.0; 
1636626951.1675117; 0.0; 
1636626951.2769992; 0.0; 
1636626951.3791766; 0.0; 
1636626951.4818227; 0.0; 
1636626951.584009; 0.0; 
1636626951.6866512; 0.0; 
1636626951.7892804; 0.0; 
1636626951.8918984; 0.0; 
1636626951.9945326; 0.0; 
1636626952.0973496; 0.0; 
1636626952.2024233; 0.0; 
1636626952.3118262; 0.0; 
1636626952.4139273; 0.0; 
1636626952.5165527; 0.0; 
1636626952.6186955; 0.0; 
1636626952.7212958; 0.0; 
1636626952.8234313; 0.0; 
1636626952.9260428; 0.0; 
1636626953.0281866; 0.0; 
1636626953.1307266; 0.0; 
1636626953.2328684; 0.0; 
1636626953.3445194; 0.0; 
1636626953.4467359; 0.0; 
1636626953.5486495; 0.0; 
