time; apparent
1636626844.4387505; 1.4745599999999999; 
1636626844.5411873; 0.36863999999999997; 
1636626844.6434994; 0.0; 
1636626844.745802; 0.0; 
1636626844.8480973; 0.0; 
1636626844.9504018; 0.36863999999999997; 
1636626845.052716; 0.36863999999999997; 
1636626845.1550572; 0.0; 
1636626845.2573233; 0.0; 
1636626845.3595786; 0.0; 
1636626845.4618654; 0.0; 
1636626845.564138; 0.0; 
1636626845.6663926; 0.0; 
1636626845.7686431; 0.0; 
1636626845.8708935; 0.0; 
1636626845.9731686; 0.0; 
1636626846.0754342; 0.0; 
1636626846.177687; 0.0; 
1636626846.2799602; 0.0; 
1636626846.382146; 0.0; 
1636626846.484443; 0.0; 
1636626846.5867949; 0.0; 
1636626846.6890626; 0.0; 
1636626846.7913136; 0.0; 
1636626846.8935592; 0.0; 
1636626846.9958467; 0.0; 
1636626847.0981226; 0.0; 
1636626847.2003853; 0.0; 
1636626847.3026478; 0.0; 
1636626847.4049554; 0.0; 
1636626847.5072293; 0.0; 
1636626847.6094904; 0.0; 
1636626847.7117488; 0.0; 
1636626847.813993; 0.0; 
1636626847.9162405; 0.0; 
1636626848.01851; 0.0; 
1636626848.1207964; 0.0; 
1636626848.2230828; 0.0; 
1636626848.3253405; 0.0; 
1636626848.4276218; 0.0; 
1636626848.5299065; 0.0; 
1636626848.6321108; 0.0; 
1636626848.7343614; 0.0; 
1636626848.83662; 0.0; 
1636626848.9388802; 0.0; 
1636626849.0411618; 0.0; 
1636626849.1434278; 0.0; 
1636626849.2456942; 0.0; 
1636626849.3479457; 0.0; 
1636626849.4502006; 0.0; 
1636626849.5524633; 0.0; 
1636626850.0313704; 0.36863999999999997; 
1636626850.1324234; 0.0; 
1636626850.2334642; 0.0; 
1636626850.3344975; 0.0; 
1636626850.4355447; 0.0; 
1636626850.5374248; 0.0; 
1636626850.6397007; 0.0; 
1636626850.741964; 0.0; 
1636626850.8442307; 0.0; 
1636626850.9465044; 0.0; 
1636626851.057725; 0.0; 
1636626851.15963; 0.0; 
1636626851.2619188; 0.0; 
1636626851.3641942; 0.0; 
1636626851.4665022; 0.0; 
1636626851.5687888; 0.0; 
1636626851.6710656; 0.0; 
1636626851.7733629; 0.0; 
1636626851.8756955; 0.0; 
1636626851.978001; 0.0; 
1636626852.0889413; 0.0; 
1636626852.1916807; 0.0; 
1636626852.2939677; 0.0; 
1636626852.3962505; 0.0; 
1636626852.4985075; 0.0; 
1636626852.6007807; 0.0; 
1636626852.7030466; 0.0; 
1636626852.8053129; 0.0; 
1636626852.9075837; 0.0; 
1636626853.009883; 0.0; 
1636626853.1207824; 0.0; 
1636626853.2227209; 0.0; 
1636626853.325067; 0.0; 
1636626853.4273767; 0.0; 
1636626853.5296717; 0.0; 
1636626853.631974; 0.0; 
1636626853.7334473; 0.0; 
1636626853.8357174; 0.0; 
1636626853.9379985; 0.0; 
1636626854.040281; 0.0; 
1636626854.1524582; 0.0; 
1636626854.2539427; 0.0; 
1636626854.3562338; 0.0; 
1636626854.4587677; 0.0; 
1636626854.561075; 0.0; 
1636626854.6633418; 0.0; 
1636626854.7655478; 0.0; 
1636626854.8678224; 0.0; 
1636626854.970118; 0.0; 
1636626855.0723984; 0.0; 
