time,apparent,
1632043724.5474901, 1.4745599999999999, 
1632043724.6498697, 0.36863999999999997, 
1632043724.7527177, 0.0, 
1632043724.8538017, 0.7372799999999999, 
1632043724.954888, 0.0, 
1632043725.0559604, 0.0, 
1632043725.1570296, 0.0, 
1632043725.2580879, 0.0, 
1632043725.3591363, 0.0, 
1632043725.4602008, 0.0, 
1632043725.5620906, 0.0, 
1632043725.6639838, 0.0, 
1632043725.7658677, 0.0, 
1632043725.8678133, 0.0, 
1632043725.969758, 0.0, 
1632043726.0716674, 0.0, 
1632043726.1736007, 0.0, 
1632043726.2755408, 0.0, 
1632043726.377487, 0.0, 
1632043726.479424, 0.0, 
1632043726.5813606, 0.0, 
1632043726.6833093, 0.0, 
1632043726.7852452, 0.0, 
1632043726.887204, 0.0, 
1632043726.9891474, 0.0, 
1632043727.0910847, 0.0, 
1632043727.193031, 0.0, 
1632043727.2949793, 0.0, 
1632043727.396963, 0.36863999999999997, 
1632043727.4989228, 0.0, 
1632043727.6008658, 0.0, 
1632043727.7028246, 0.0, 
1632043727.8047671, 0.0, 
1632043727.906773, 0.0, 
1632043728.008721, 0.0, 
1632043728.1106567, 0.0, 
1632043728.2125945, 0.0, 
1632043728.3145332, 0.0, 
1632043728.4164746, 0.0, 
1632043728.5184066, 0.0, 
1632043728.6203463, 0.0, 
1632043728.722718, 0.0, 
1632043728.82469, 0.0, 
1632043728.926689, 0.0, 
1632043729.0286605, 0.36863999999999997, 
1632043729.1306243, 0.0, 
1632043729.2325711, 0.0, 
1632043729.33452, 0.0, 
1632043729.4364011, 0.0, 
1632043729.5383158, 0.0, 
1632043729.6402583, 0.0, 
1632043729.742215, 0.0, 
1632043729.8441608, 0.0, 
1632043729.9461029, 0.0, 
1632043730.048049, 0.0, 
1632043730.15001, 0.0, 
1632043730.2519584, 0.0, 
1632043730.3539143, 0.0, 
1632043730.4558625, 0.0, 
1632043730.5578296, 0.0, 
1632043730.6597767, 0.0, 
1632043730.7617383, 0.0, 
1632043730.8636932, 0.0, 
1632043730.9656534, 0.0, 
1632043731.0676205, 0.36863999999999997, 
1632043731.169596, 0.0, 
1632043731.2715213, 0.0, 
1632043731.3734777, 0.0, 
1632043731.4754379, 0.0, 
1632043731.577395, 0.0, 
1632043731.6793385, 0.0, 
1632043731.7812912, 0.0, 
1632043731.8832233, 0.0, 
1632043731.9851635, 0.0, 
1632043732.0871117, 0.36863999999999997, 
1632043732.1890714, 0.0, 
1632043732.291024, 0.36863999999999997, 
1632043732.3929818, 0.0, 
1632043732.4949346, 0.0, 
1632043732.5969145, 0.0, 
1632043732.6988566, 0.0, 
1632043732.800832, 0.0, 
1632043732.9027932, 0.0, 
1632043733.0047274, 0.0, 
1632043733.106727, 0.0, 
1632043733.20868, 0.0, 
1632043733.3106189, 0.0, 
1632043733.4125624, 0.0, 
1632043733.5145147, 0.0, 
1632043733.6164093, 0.0, 
1632043733.7183545, 0.0, 
1632043733.8202996, 0.0, 
1632043733.9222262, 0.0, 
1632043734.024178, 0.36863999999999997, 
1632043734.1261427, 0.0, 
1632043734.2280846, 0.0, 
1632043734.3300228, 0.0, 
1632043734.4319637, 0.0, 
1632043734.533915, 0.0, 
1632043734.635867, 0.0, 
1632043734.7378156, 0.0, 
1632043734.8397508, 0.0, 
1632043734.9417005, 0.36863999999999997, 
1632043735.0436614, 0.0, 
1632043735.145598, 0.36863999999999997, 
1632043735.2475548, 0.0, 
1632043735.349494, 0.0, 
1632043735.451424, 0.0, 
1632043735.5533664, 0.0, 
1632043735.6552567, 0.0, 
1632043735.7572064, 0.0, 
1632043735.8591611, 0.0, 
1632043735.9610991, 0.0, 
1632043736.0630412, 0.0, 
1632043736.1649773, 0.0, 
1632043736.266947, 0.36863999999999997, 
1632043736.3688972, 0.0, 
1632043736.4708307, 0.0, 
1632043736.5727007, 0.0, 
1632043736.674645, 0.0, 
1632043736.7766151, 0.0, 
1632043736.8785448, 0.0, 
1632043736.9804728, 0.0, 
1632043737.082409, 0.0, 
1632043737.184331, 0.36863999999999997, 
1632043737.2862701, 0.0, 
1632043737.3882108, 0.36863999999999997, 
1632043737.490145, 0.0, 
1632043737.59208, 0.0, 
1632043737.6940038, 0.0, 
1632043737.7959328, 0.0, 
1632043737.8978794, 0.0, 
1632043737.999812, 0.0, 
1632043738.101745, 0.0, 
1632043738.2036664, 0.0, 
1632043738.305579, 0.36863999999999997, 
1632043738.4075332, 0.0, 
1632043738.5094588, 0.0, 
1632043738.6113899, 0.0, 
1632043738.7133179, 0.0, 
1632043738.815252, 0.0, 
1632043738.9171996, 0.0, 
1632043739.0191302, 0.0, 
1632043739.1210663, 0.0, 
1632043739.2229881, 0.36863999999999997, 
1632043739.3249288, 0.0, 
1632043739.4269006, 0.0, 
1632043739.5288324, 0.36863999999999997, 
1632043739.6307747, 0.0, 
1632043739.7327063, 0.0, 
1632043739.8346841, 0.0, 
1632043739.9366596, 0.0, 
1632043740.0385392, 0.36863999999999997, 
1632043740.140481, 0.0, 
1632043740.2424028, 0.0, 
1632043740.34433, 0.0, 
1632043740.4462588, 0.0, 
1632043740.5482285, 0.0, 
1632043740.6501539, 0.0, 
1632043740.7520866, 0.0, 
1632043740.8540154, 0.0, 
1632043740.9558778, 0.0, 
1632043741.057833, 0.0, 
1632043741.1597779, 0.36863999999999997, 
1632043741.2617328, 0.36863999999999997, 
1632043741.3636916, 0.0, 
1632043741.4656513, 0.0, 
1632043741.5676024, 0.0, 
1632043741.6695552, 0.0, 
1632043741.7714646, 0.0, 
1632043741.8733928, 0.0, 
1632043741.975337, 0.36863999999999997, 
1632043742.0773003, 0.0, 
1632043742.1792457, 0.0, 
1632043742.2811887, 0.0, 
1632043742.3831263, 0.0, 
1632043742.4850729, 0.0, 
1632043742.5870545, 0.0, 
1632043742.6890037, 0.0, 
1632043742.7909532, 0.0, 
1632043742.8928902, 0.7372799999999999, 
1632043742.9948406, 0.0, 
1632043743.096861, 0.0, 
1632043743.198816, 0.0, 
