time; apparent
1636630402.024437; 92.16000000000001; 
1636630402.126966; 0.36863999999999997; 
1636630402.2288992; 0.0; 
1636630402.3312228; 0.36863999999999997; 
1636630402.4331424; 0.36863999999999997; 
1636630402.5355; 0.0; 
1636630402.6374495; 0.0; 
1636630402.7397983; 0.0; 
1636630402.8417187; 0.0; 
1636630402.9440393; 0.0; 
1636630403.045957; 0.0; 
1636630403.1478863; 0.0; 
1636630403.2502198; 0.36863999999999997; 
1636630403.3521628; 0.0; 
1636630403.4545012; 0.0; 
1636630403.5564508; 0.0; 
1636630403.6587925; 0.0; 
1636630403.7607257; 0.0; 
1636630403.8630724; 0.0; 
1636630403.9649873; 0.0; 
1636630404.0673218; 0.0; 
1636630404.1692495; 0.0; 
1636630404.2715995; 0.0; 
1636630404.3735378; 0.0; 
1636630404.475885; 0.0; 
1636630404.5778148; 0.0; 
1636630404.680155; 0.0; 
1636630404.782061; 0.36863999999999997; 
1636630404.8844166; 0.36863999999999997; 
1636630404.9863837; 0.0; 
1636630405.0887275; 0.0; 
1636630405.1906533; 0.0; 
1636630405.2930095; 0.0; 
1636630405.3949876; 0.0; 
1636630405.497333; 0.0; 
1636630405.599265; 0.0; 
1636630405.7016068; 0.0; 
1636630405.8035486; 0.0; 
1636630405.905881; 0.36863999999999997; 
1636630406.0078247; 0.0; 
1636630406.1101813; 0.36863999999999997; 
1636630406.2121296; 0.36863999999999997; 
1636630406.3144991; 0.0; 
1636630406.4164157; 0.0; 
1636630406.5187597; 0.0; 
1636630406.6206937; 0.36863999999999997; 
1636630406.7226324; 0.0; 
1636630406.8250413; 0.0; 
1636630406.927375; 0.36863999999999997; 
1636630407.029293; 0.0; 
1636630407.1312225; 0.0; 
1636630407.549708; 1.10592; 
1636630407.6507702; 0.0; 
1636630407.7518141; 0.0; 
1636630407.8528476; 0.0; 
1636630407.9538844; 0.0; 
1636630408.055747; 0.0; 
1636630408.1576242; 0.0; 
1636630408.2598803; 0.0; 
1636630408.3617342; 0.0; 
1636630408.4639869; 0.0; 
1636630408.5733066; 0.0; 
1636630408.6752117; 0.0; 
1636630408.77748; 0.0; 
1636630408.8793387; 0.0; 
1636630408.9815357; 0.0; 
1636630409.0833967; 0.0; 
1636630409.185679; 0.0; 
1636630409.2875414; 0.0; 
1636630409.389813; 0.0; 
1636630409.4916995; 0.0; 
1636630409.6005218; 0.0; 
1636630409.7023842; 0.0; 
1636630409.8047125; 0.0; 
1636630409.9065664; 0.0; 
1636630410.00883; 0.0; 
1636630410.1106932; 0.0; 
1636630410.2129622; 0.0; 
1636630410.31483; 0.0; 
1636630410.4170759; 0.0; 
1636630410.518959; 0.0; 
1636630410.629893; 0.0; 
1636630410.7317507; 0.0; 
1636630410.8336592; 0.0; 
1636630410.935561; 0.0; 
1636630411.0374575; 0.0; 
1636630411.1393723; 0.0; 
1636630411.241284; 0.0; 
1636630411.3431954; 0.0; 
1636630411.4451299; 0.0; 
1636630411.5470347; 0.0; 
1636630411.6560116; 0.0; 
1636630411.7578993; 0.0; 
1636630411.85977; 0.0; 
1636630411.9642003; 19.169279999999997; 
1636630412.0664577; 34.652159999999995; 
1636630412.1683156; 37.23264; 
1636630412.2705834; 37.96992; 
1636630412.372458; 37.96992; 
1636630412.4747674; 38.338559999999994; 
1636630412.576621; 37.96992; 
1636630412.6875858; 41.656319999999994; 
1636630412.7894654; 37.96992; 
1636630412.891744; 37.96992; 
1636630412.993617; 37.96992; 
1636630413.0954783; 37.601279999999996; 
1636630413.1973593; 37.96992; 
1636630413.2996292; 38.338559999999994; 
1636630413.401481; 37.96992; 
1636630413.50374; 37.96992; 
1636630413.6056073; 37.96992; 
1636630413.7169025; 40.919039999999995; 
1636630413.818413; 37.601279999999996; 
1636630413.9207346; 37.96992; 
1636630414.022651; 37.96992; 
1636630414.1250365; 37.96992; 
1636630414.2269504; 37.601279999999996; 
1636630414.329289; 37.601279999999996; 
1636630414.4311903; 37.23264; 
1636630414.5335047; 37.601279999999996; 
1636630414.63543; 37.23264; 
1636630414.7467127; 40.550399999999996; 
1636630414.8486063; 37.23264; 
1636630414.9505188; 37.601279999999996; 
1636630415.0528536; 37.23264; 
1636630415.1548247; 37.23264; 
1636630415.2571578; 37.601279999999996; 
1636630415.359077; 37.23264; 
1636630415.4614248; 37.601279999999996; 
1636630415.5637736; 37.23264; 
1636630415.6661415; 37.601279999999996; 
1636630415.776688; 40.18175999999999; 
1636630415.8786058; 37.23264; 
1636630415.9809167; 37.23264; 
1636630416.082809; 37.601279999999996; 
1636630416.1851633; 37.23264; 
1636630416.2870781; 37.23264; 
1636630416.3893979; 37.23264; 
1636630416.4913678; 36.864; 
1636630416.593684; 36.864; 
1636630416.6955874; 36.864; 
1636630416.8068674; 40.550399999999996; 
1636630416.9087825; 37.601279999999996; 
1636630417.0110724; 36.864; 
1636630417.1129436; 36.864; 
1636630417.2151644; 37.23264; 
1636630417.317036; 36.864; 
1636630417.4192958; 36.864; 
1636630417.5211635; 36.864; 
1636630417.623442; 37.23264; 
1636630417.7252946; 36.864; 
1636630417.8360696; 40.18175999999999; 
1636630417.9379616; 36.864; 
1636630418.0398488; 37.23264; 
1636630418.1421525; 37.23264; 
1636630418.2440188; 36.864; 
1636630418.3462918; 37.23264; 
1636630418.448115; 36.864; 
1636630418.550369; 36.864; 
1636630418.6522217; 36.864; 
1636630418.7544963; 36.864; 
