time; Fan; Charger; Hair dryer; Lamp; Toaster; Vacuum; Water kettle; 
1636630407.449337; 0; 0; 0; 0; 0; 0; 0; 
1636630408.4725213; 0; 0; 0; 0; 0; 0; 0; 
1636630409.4999394; 0; 0; 0; 0; 0; 0; 0; 
1636630410.5292013; 0; 0; 0; 0; 0; 0; 0; 
1636630411.5554123; 0; 0; 0; 0; 0; 0; 0; 
1636630412.586884; 0; 0; 0; 0; 0; 0; 0; 
1636630413.616133; 1; 0; 0; 0; 0; 0; 0; 
1636630414.6459842; 1; 0; 0; 0; 0; 0; 0; 
1636630415.6760736; 1; 0; 0; 0; 0; 0; 0; 
1636630416.7060957; 1; 0; 0; 0; 0; 0; 0; 
1636630417.7353551; 1; 0; 0; 0; 0; 0; 0; 
1636630418.7625742; 1; 0; 0; 0; 0; 0; 0; 
1636630419.7920454; 1; 0; 0; 0; 0; 0; 0; 
1636630420.8196056; 1; 0; 0; 0; 0; 0; 0; 
1636630421.8495207; 1; 0; 0; 0; 0; 0; 0; 
1636630422.8753011; 1; 0; 0; 0; 0; 0; 0; 
1636630423.902786; 1; 0; 0; 0; 0; 0; 0; 
1636630424.9291222; 1; 0; 0; 0; 0; 0; 0; 
1636630425.9582753; 1; 0; 0; 0; 0; 0; 0; 
1636630426.987781; 1; 0; 0; 0; 0; 0; 0; 
1636630428.0142384; 1; 0; 0; 0; 0; 0; 0; 
1636630429.044111; 1; 0; 0; 0; 0; 0; 0; 
1636630430.0736868; 1; 0; 0; 0; 0; 0; 0; 
1636630431.103177; 0; 0; 0; 0; 0; 0; 0; 
1636630432.1329336; 0; 0; 0; 0; 0; 0; 0; 
1636630433.1599154; 0; 0; 0; 0; 0; 0; 0; 
1636630434.1931863; 0; 0; 0; 0; 0; 0; 0; 
1636630435.2206676; 0; 0; 0; 0; 0; 0; 0; 
1636630436.2533557; 0; 0; 0; 0; 0; 0; 0; 
1636630437.2830951; 0; 0; 0; 0; 0; 0; 0; 
1636630438.3123693; 0; 0; 0; 0; 0; 0; 0; 
1636630439.3402348; 0; 0; 0; 0; 0; 0; 0; 
1636630440.3669577; 0; 0; 0; 0; 0; 0; 0; 
1636630441.398151; 0; 0; 0; 0; 0; 0; 0; 
