time; apparent
1636804862.702367; 91.79136; 
1636804862.804356; 0.0; 
1636804862.9062676; 0.7372799999999999; 
1636804863.0081847; 0.0; 
1636804863.1100938; 0.0; 
1636804863.2119966; 0.36863999999999997; 
1636804863.3143651; 0.0; 
1636804863.4163551; 0.0; 
1636804863.5182877; 0.0; 
1636804863.6202393; 0.0; 
1636804863.722206; 0.0; 
1636804863.8241603; 0.0; 
1636804863.926105; 0.0; 
1636804864.0280633; 0.7372799999999999; 
1636804864.1301312; 0.0; 
1636804864.2320647; 0.0; 
1636804864.3340197; 0.36863999999999997; 
1636804864.4359841; 0.0; 
1636804864.5379457; 0.0; 
1636804864.6398826; 0.0; 
1636804864.7418013; 0.0; 
1636804864.843717; 0.0; 
1636804864.9456332; 0.0; 
1636804865.0476818; 0.0; 
1636804865.1496809; 0.0; 
1636804865.2516468; 0.36863999999999997; 
1636804865.3536067; 0.0; 
1636804865.455568; 0.0; 
1636804865.5575254; 0.36863999999999997; 
1636804865.6595201; 0.0; 
1636804865.761466; 0.0; 
1636804865.863445; 0.0; 
1636804865.9653528; 0.0; 
1636804866.0672786; 0.0; 
1636804866.1693318; 0.0; 
1636804866.2712462; 0.0; 
1636804866.3732014; 0.0; 
1636804866.4751563; 0.0; 
1636804866.5771084; 0.0; 
1636804866.6790664; 0.0; 
1636804866.7811396; 0.0; 
1636804866.8830972; 0.0; 
1636804866.9850829; 0.0; 
1636804867.087056; 0.0; 
1636804867.1890204; 0.0; 
1636804867.2910109; 0.0; 
1636804867.3929791; 0.0; 
1636804867.4949172; 0.0; 
1636804867.5969677; 0.0; 
1636804867.6988974; 0.0; 
1636804867.8008697; 0.0; 
1636804868.2136323; 0.36863999999999997; 
1636804868.3147364; 0.0; 
1636804868.4158504; 0.0; 
1636804868.5169613; 0.0; 
1636804868.6180665; 0.0; 
1636804868.719608; 0.0; 
1636804868.8215313; 0.0; 
1636804868.923442; 0.0; 
1636804869.0253594; 0.0; 
1636804869.1272683; 0.0; 
1636804869.2382367; 0.0; 
1636804869.340164; 0.0; 
1636804869.4420812; 0.0; 
1636804869.544009; 0.0; 
1636804869.6458406; 0.0; 
1636804869.7478907; 0.0; 
1636804869.849828; 0.0; 
1636804869.9517796; 0.0; 
1636804870.0537202; 0.0; 
1636804870.1556315; 0.0; 
1636804870.2664826; 0.0; 
1636804870.3684344; 0.0; 
1636804870.4703884; 0.0; 
1636804870.5723436; 0.0; 
1636804870.6742969; 0.0; 
1636804870.7762394; 0.0; 
1636804870.878148; 0.0; 
1636804870.9802032; 0.0; 
1636804871.0821311; 0.36863999999999997; 
1636804871.1840916; 0.0; 
1636804871.2947626; 0.0; 
1636804871.3968046; 0.0; 
1636804871.4986947; 0.0; 
1636804871.600617; 0.0; 
1636804871.7025335; 0.0; 
1636804871.804453; 0.0; 
1636804871.9063833; 0.0; 
1636804872.008308; 0.0; 
1636804872.1102383; 0.0; 
1636804872.212154; 402.92352; 
1636804872.3231235; 1768.36608; 
1636804872.4250243; 1571.1436800000001; 
1636804872.5269253; 1213.56288; 
1636804872.6288362; 967.68; 
1636804872.7308803; 827.9654400000001; 
1636804872.8327994; 751.6569599999999; 
1636804872.934731; 710.0006400000001; 
1636804873.0366635; 686.7763199999999; 
1636804873.1386085; 672.7679999999999; 
